DATAFLOW,LAST UPDATE,freq,age,indic_se,sex,sizeclas,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,HU,2018,903,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,IE,2018,3990,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,IS,2018,4898,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,IT,2018,2602,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,LT,2018,980,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,LU,2018,6001,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,LV,2018,1080,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,MK,2018,637,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,MT,2018,2199,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,NL,2018,3325,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,NO,2018,4568,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,PL,2018,1035,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,RO,2018,1242,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,RS,2018,634,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,SE,2018,3248,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,SI,2018,1856,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,SK,2018,1084,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,P,EUR,UK,2018,3164,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,BG,2014,517,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,CH,2014,6990,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,CY,2014,2070,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,CZ,2014,946,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,DE,2014,3327,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,DK,2014,4474,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,EE,2014,1252,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,ES,2014,2104,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,EU28,2014,2586,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,FI,2014,3477,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,FR,2014,2383,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,HR,2014,1227,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,HU,2014,705,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,IE,2014,4279,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,IS,2014,3567,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,IT,2014,2612,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,LT,2014,874,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,LV,2014,924,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,MK,2014,688,
